date,home_team,away_team,home_pitcher_curr_era,home_pitcher_prev_era,home_pitcher_curr_ip,home_pitcher_prev_ip,away_pitcher_curr_era,away_pitcher_prev_era,away_pitcher_curr_ip,away_pitcher_prev_ip,home_curr_ops,home_prev_ops,away_curr_ops,away_prev_ops,home_pitcher_adv,away_pitcher_adv,home_team_curr_win_pct,home_team_prev_win_pct,home_team_curr_fir_avg,home_team_prev_fir_avg,away_team_curr_win_pct,away_team_prev_win_pct,away_team_curr_fir_avg,away_team_prev_fir_avg,fir_result
20170412,NYY,TB,0,0,0,0,5.4,3.54,6.2,89,0.8326,0.7314,0.835,0.7314,0,0,0.429,0.519,0.142857143,0.425925926,0.625,0.42,1.125,0.537037037,1
20170412,DET,MIN,0,3.06,6,159,5.4,5.07,5,147.1,0.7354,0.843,0.8038,0.843,1,0,0.667,0.534,0.285714286,0.49068323,0.833,0.364,0,0.481481481,1
20170412,COL,SD,1.5,0,6,0,0,0,0,0,0.83975,0.86175,0.9208,0.86175,0,1,0.625,0.463,0.222222222,0.635802469,0.5,0.42,0.666666667,0.537037037,1
20170412,WAS,STL,2.7,2.96,6.2,228,1.12,4.7,8,176.1,0.9722,0.8036,0.5714,0.8036,0,0,0.571,0.586,0.5,0.740740741,0.286,0.531,0.75,0.425925926,1
20170412,CLE,CWS,6.35,3.87,5.2,137.1,3,4.95,6,107.1,0.6244,0.6202,0.5994,0.6202,0,0,0.5,0.584,0.428571429,0.559006211,0.4,0.481,0.5,0.50617284,0
20170412,PIT,CIN,0,3.06,6,64.2,0,0,6,0,0.696,0.7496,0.8746,0.7496,1,0,0.5,0.481,0,0.641975309,0.714,0.42,0.375,0.679012346,0
20170412,PHI,NYM,9,4.12,4,131,11.25,0,4,0,0.8076,0.7568,0.8558,0.7568,0,0,0.429,0.438,2.125,0.425925926,0.571,0.537,0.875,0.450617284,1
20170412,TOR,MIL,1.42,4.37,6.1,204,1.5,4.4,6,151.1,0.6054,0.8222,0.8298,0.8222,1,0,0.167,0.549,0.714285714,0.654320988,0.286,0.451,0.5,0.543209877,0
20170412,MIA,ATL,1.8,4.34,5,176.1,6,4.48,6,178.2,0.65725,0.772,0.71,0.772,0,1,0.5,0.491,0.857142857,0.577639752,0.167,0.422,0.285714286,0.403726708,0
20170412,BOS,BAL,5.4,3.33,6.2,156.2,10.38,5.32,4.1,142,0.6262,0.8286,0.9084,0.8286,1,1,0.5,0.574,0,0.709876543,0.8,0.549,0.166666667,0.530864198,1
20170412,CHC,LAD,4.5,3.35,6,188.1,3,4.95,6,40,0.7346,0.7272,0.798,0.7272,0,0,0.714,0.636,0.571428571,0.672839506,0.5,0.562,0.5,0.648148148,1
20170412,KC,OAK,5.4,3.83,5,166.2,0,4.31,5.2,56.1,0.7364,0.7452,0.7938,0.7452,0,0,0.286,0.5,0,0.512345679,0.5,0.426,0.125,0.388888889,0
20170412,LAA,TEX,1.59,4.21,5.2,25.2,10.8,5.07,3.1,119,0.92,0.7984,0.935333333,0.7984,1,0,0.714,0.457,0.125,0.635802469,0.333,0.586,0.857142857,0.561728395,0
20170412,SEA,HOU,5.4,5.43,5,117.2,1.5,4.48,6,168.2,0.6534,0.8218,0.6654,0.8218,0,1,0.25,0.531,0.333333333,0.598765432,0.5,0.519,0.444444444,0.592592593,1
20170412,SF,ARI,8.31,5.64,4.1,89.1,5.06,6.09,5.1,102,0.7994,0.7814,0.8518,0.7814,0,1,0.375,0.537,0.111111111,0.401234568,0.75,0.426,0,0.654320988,1
20170413,DET,MIN,1.5,4.89,6,105,1.5,5.95,6,59,0.7508,0.7974,0.7256,0.7974,1,0,0.714,0.534,0.25,0.49068323,0.714,0.364,0.125,0.481481481,1
20170413,BOS,PIT,7.2,4.71,5,107,3.6,4.2,5,70.2,0.6794,0.8286,0.6522,0.8286,0,1,0.571,0.574,0,0.709876543,0.429,0.481,0,0.641975309,1
20170413,CHC,LAD,1.59,11.91,5.2,11.1,3.86,11.57,4.2,4.2,0.7332,0.73,0.9135,0.73,0,0,0.714,0.636,0.5,0.672839506,0.5,0.562,0.555555556,0.648148148,1
20170413,LAA,TEX,3.86,3.21,11.2,73,3.65,3.41,12.1,100.1,0.9032,0.7984,0.882,0.7984,1,0,0.75,0.457,0.111111111,0.635802469,0.286,0.586,0.75,0.561728395,1
