,date,home_team,away_team,home_pitcher_curr_era,home_pitcher_prev_era,home_pitcher_prev_ip,away_pitcher_curr_era,away_pitcher_prev_era,away_pitcher_prev_ip,pitcher_adv,home_curr_ops,home_prev_ops,away_curr_ops,away_prev_ops,home_curr_hr,home_prev_hr,away_curr_hr,away_prev_hr,home_team_curr_win_pct,home_team_prev_win_pct,home_team_curr_fir_avg,home_team_prev_fir_avg,away_team_curr_win_pct,away_team_prev_win_pct,away_team_curr_fir_avg,away_team_prev_fir_avg,park_rating,fir_result
1707,20180823,BOS,CLE,3.69,3.38,74.2,4.62,6.0,0.0,1,0.9316,0.8353999999999999,0.6566,0.62,0.05274194311915509,0.05136443037373493,0.040699591404190764,0.034505194521281694,0.693,0.574,0.640625,0.5246913580246914,0.584,0.63,0.7698412698412699,0.6419753086419753,1.026,0
1708,20180823,WAS,PHI,2.11,2.51,200.2,2.24,3.54,168.0,0,0.8380000000000001,0.7148,0.7485999999999999,0.845,0.04226993610908373,0.04173431714426287,0.03944939206029725,0.04663392926574342,0.5,0.599,0.6299212598425197,0.654320987654321,0.544,0.40700000000000003,0.5238095238095238,0.5123456790123457,1.057,0
1709,20180823,DET,CWS,4.27,5.4,135.0,4.39,5.23,117.0,1,0.7036,0.7698,0.7352000000000001,0.48,0.0248230486366898,0.024622357458471272,0.05098538717305735,0.03162794620834766,0.413,0.395,0.5748031496062992,0.4753086419753086,0.376,0.414,0.4803149606299213,0.5925925925925926,1.169,0
1710,20180823,NYM,SF,1.71,3.53,201.1,3.05,3.32,111.0,1,0.7575999999999999,0.7565999999999999,0.7285999999999999,0.7853999999999999,0.029382129062585957,0.039389507666309664,0.02499232237129275,0.03516570167406008,0.44,0.43200000000000005,0.5793650793650794,0.6666666666666666,0.488,0.395,0.453125,0.462962962962963,0.858,0
1711,20180823,COL,SD,2.96,4.04,156.0,3.79,6.0,0.0,1,0.6874,0.8513999999999999,0.7084,0.6325999999999999,0.04922506926717486,0.0463270827219135,0.033848534941713734,0.0379186150665647,0.544,0.537,0.6825396825396826,0.5987654320987654,0.391,0.43799999999999994,0.4883720930232558,0.5,1.3319999999999999,0
1712,20180823,MIA,ATL,5.08,6.0,0.0,3.73,4.32,100.0,1,0.7405,0.3745,0.8115,0.8172499999999999,0.03354422102926153,0.01805869074492099,0.030684438328786583,0.02758522833391973,0.39399999999999996,0.475,0.4140625,0.7716049382716049,0.56,0.444,0.6062992125984252,0.4876543209876543,0.848,0
1713,20180823,TB,KC,7.69,7.69,62.0,4.9,3.75,151.1,0,0.591,0.59875,0.7008,0.583,0.023159046145083316,0.04396760606946207,0.02707507977381673,0.046132270568891666,0.516,0.494,0.5275590551181102,0.5246913580246914,0.302,0.494,0.6062992125984252,0.3765432098765432,0.902,1
1714,20180823,CHC,CIN,0.69,4.2,148.0,4.03,6.0,0.0,2,0.8311999999999999,0.8214,0.8022,0.7442,0.04384833701504025,0.04934639660194813,0.03374297327549106,0.035224279782248034,0.573,0.568,0.492063492063492,0.6234567901234568,0.444,0.42,0.4409448818897638,0.6790123456790124,1.131,1
1715,20180823,MIN,OAK,6.0,6.0,0.0,3.12,8.22,23.0,0,0.7766,0.7562,0.8396000000000001,0.693,0.022100178096599497,0.028755780690413124,0.04354596356525372,0.06898076963163678,0.48,0.525,0.5118110236220472,0.5370370370370371,0.603,0.46299999999999997,0.4960629921259842,0.5679012345679012,1.095,0
1716,20180824,CHC,CIN,6.0,6.0,0.0,4.28,6.7,92.2,0,0.8356,0.8214,0.7752,0.6998,0.03812241200943112,0.04934639660194813,0.02958912386835713,0.024879452196041145,0.5760000000000001,0.568,0.5039370078740157,0.6234567901234568,0.441,0.42,0.4453125,0.6790123456790124,1.131,0
